payment_id,customer_id,staff_id,rental_id,amount,payment_date,first_name,last_name,email
17525,345,2,2766,4.99,2007-02-19 16:13:41,CARL,ARTIS,carl.artis@sakilacustomer.org
17526,346,1,1994,5.99,2007-02-17 09:35:32,ARTHUR,SIMPKINS,arthur.simpkins@sakilacustomer.org
17527,346,2,3372,2.99,2007-02-21 12:02:45,ARTHUR,SIMPKINS,arthur.simpkins@sakilacustomer.org
17528,346,1,3421,2.99,2007-02-21 15:51:24,ARTHUR,SIMPKINS,arthur.simpkins@sakilacustomer.org
17530,347,2,2274,0.99,2007-02-18 04:59:41,RYAN,SALISBURY,ryan.salisbury@sakilacustomer.org
17531,347,1,3026,4.99,2007-02-20 10:16:26,RYAN,SALISBURY,ryan.salisbury@sakilacustomer.org
17533,347,1,3326,7.99,2007-02-21 07:33:16,RYAN,SALISBURY,ryan.salisbury@sakilacustomer.org
17534,348,1,1654,2.99,2007-02-16 08:11:14,ROGER,QUINTANILLA,roger.quintanilla@sakilacustomer.org
17536,348,2,2499,0.99,2007-02-18 21:30:02,ROGER,QUINTANILLA,roger.quintanilla@sakilacustomer.org
17537,349,1,1197,2.99,2007-02-15 00:11:12,JOE,GILLILAND,joe.gilliland@sakilacustomer.org
17538,349,1,1523,0.99,2007-02-15 22:47:06,JOE,GILLILAND,joe.gilliland@sakilacustomer.org
17539,349,2,2987,6.99,2007-02-20 07:24:16,JOE,GILLILAND,joe.gilliland@sakilacustomer.org
17541,350,2,2011,3.99,2007-02-17 10:24:35,JUAN,FRALEY,juan.fraley@sakilacustomer.org
17542,350,1,2619,0.99,2007-02-19 06:31:38,JUAN,FRALEY,juan.fraley@sakilacustomer.org
17543,350,1,3079,2.99,2007-02-20 13:42:06,JUAN,FRALEY,juan.fraley@sakilacustomer.org
17544,350,2,3206,0.99,2007-02-20 23:08:05,JUAN,FRALEY,juan.fraley@sakilacustomer.org
17545,351,2,1792,5.99,2007-02-16 18:33:16,JACK,FOUST,jack.foust@sakilacustomer.org
17546,351,1,1869,0.99,2007-02-17 00:36:26,JACK,FOUST,jack.foust@sakilacustomer.org
17547,351,1,2759,2.99,2007-02-19 15:38:50,JACK,FOUST,jack.foust@sakilacustomer.org
17548,352,1,1498,0.99,2007-02-15 20:26:26,ALBERT,CROUSE,albert.crouse@sakilacustomer.org
17549,352,1,1649,4.99,2007-02-16 07:48:59,ALBERT,CROUSE,albert.crouse@sakilacustomer.org
17550,352,1,1678,4.99,2007-02-16 09:36:54,ALBERT,CROUSE,albert.crouse@sakilacustomer.org
17551,352,1,1780,4.99,2007-02-16 17:40:11,ALBERT,CROUSE,albert.crouse@sakilacustomer.org
17552,352,2,3331,4.99,2007-02-21 08:06:19,ALBERT,CROUSE,albert.crouse@sakilacustomer.org
17553,353,2,1359,2.99,2007-02-15 11:58:56,JONATHAN,SCARBOROUGH,jonathan.scarborough@sakilacustomer.org
17554,353,2,1928,7.99,2007-02-17 05:16:57,JONATHAN,SCARBOROUGH,jonathan.scarborough@sakilacustomer.org
17555,353,2,3233,6.99,2007-02-21 01:07:57,JONATHAN,SCARBOROUGH,jonathan.scarborough@sakilacustomer.org
17556,354,1,1491,0.99,2007-02-15 20:16:44,JUSTIN,NGO,justin.ngo@sakilacustomer.org
17557,354,1,2275,4.99,2007-02-18 04:59:55,JUSTIN,NGO,justin.ngo@sakilacustomer.org
17558,354,1,2769,6.99,2007-02-19 16:20:40,JUSTIN,NGO,justin.ngo@sakilacustomer.org
17559,354,1,3139,2.99,2007-02-20 18:13:11,JUSTIN,NGO,justin.ngo@sakilacustomer.org
17560,355,2,1488,0.99,2007-02-15 20:08:20,TERRY,GRISSOM,terry.grissom@sakilacustomer.org
17561,355,1,1612,2.99,2007-02-16 05:20:31,TERRY,GRISSOM,terry.grissom@sakilacustomer.org
17562,356,1,1410,0.99,2007-02-15 15:28:12,GERALD,FULTZ,gerald.fultz@sakilacustomer.org
17563,356,1,2405,2.99,2007-02-18 15:05:04,GERALD,FULTZ,gerald.fultz@sakilacustomer.org
17564,356,1,2433,4.99,2007-02-18 16:38:43,GERALD,FULTZ,gerald.fultz@sakilacustomer.org
17565,357,2,1246,5.99,2007-02-15 03:39:45,KEITH,RICO,keith.rico@sakilacustomer.org
17566,357,1,1788,1.99,2007-02-16 18:15:44,KEITH,RICO,keith.rico@sakilacustomer.org
17567,357,2,1971,1.99,2007-02-17 07:52:25,KEITH,RICO,keith.rico@sakilacustomer.org
17568,357,2,2153,6.99,2007-02-17 21:26:30,KEITH,RICO,keith.rico@sakilacustomer.org
17569,358,1,1455,2.99,2007-02-15 18:19:32,SAMUEL,MARLOW,samuel.marlow@sakilacustomer.org
17570,358,2,1908,0.99,2007-02-17 03:39:02,SAMUEL,MARLOW,samuel.marlow@sakilacustomer.org
17571,358,1,2114,5.99,2007-02-17 18:28:51,SAMUEL,MARLOW,samuel.marlow@sakilacustomer.org
17572,358,1,2721,2.99,2007-02-19 13:21:50,SAMUEL,MARLOW,samuel.marlow@sakilacustomer.org
17573,358,1,2749,2.99,2007-02-19 14:56:01,SAMUEL,MARLOW,samuel.marlow@sakilacustomer.org
17574,358,1,3245,2.99,2007-02-21 01:34:37,SAMUEL,MARLOW,samuel.marlow@sakilacustomer.org
17575,359,2,1329,4.99,2007-02-15 09:53:32,WILLIE,MARKHAM,willie.markham@sakilacustomer.org
17576,359,2,1770,1.99,2007-02-16 16:36:21,WILLIE,MARKHAM,willie.markham@sakilacustomer.org
17577,359,1,2401,0.99,2007-02-18 14:50:29,WILLIE,MARKHAM,willie.markham@sakilacustomer.org
17578,359,1,2736,4.99,2007-02-19 14:11:46,WILLIE,MARKHAM,willie.markham@sakilacustomer.org
17579,360,2,1492,0.99,2007-02-15 20:17:01,RALPH,MADRIGAL,ralph.madrigal@sakilacustomer.org
17580,360,2,2402,6.99,2007-02-18 14:53:11,RALPH,MADRIGAL,ralph.madrigal@sakilacustomer.org
17581,360,2,2541,3.99,2007-02-19 00:36:36,RALPH,MADRIGAL,ralph.madrigal@sakilacustomer.org
17582,360,2,2780,6.99,2007-02-19 16:47:59,RALPH,MADRIGAL,ralph.madrigal@sakilacustomer.org
17583,361,2,2353,4.99,2007-02-18 11:21:51,LAWRENCE,LAWTON,lawrence.lawton@sakilacustomer.org
17584,361,2,2558,1.99,2007-02-19 01:37:42,LAWRENCE,LAWTON,lawrence.lawton@sakilacustomer.org
17585,361,1,2851,2.99,2007-02-19 21:35:29,LAWRENCE,LAWTON,lawrence.lawton@sakilacustomer.org
17586,361,2,3303,2.99,2007-02-21 06:02:40,LAWRENCE,LAWTON,lawrence.lawton@sakilacustomer.org
17587,362,1,1429,2.99,2007-02-15 16:52:36,NICHOLAS,BARFIELD,nicholas.barfield@sakilacustomer.org
17588,362,1,1529,2.99,2007-02-15 23:06:01,NICHOLAS,BARFIELD,nicholas.barfield@sakilacustomer.org
17589,362,1,1615,2.99,2007-02-16 05:28:54,NICHOLAS,BARFIELD,nicholas.barfield@sakilacustomer.org
17590,362,2,3197,2.99,2007-02-20 22:35:49,NICHOLAS,BARFIELD,nicholas.barfield@sakilacustomer.org
17591,362,2,3393,2.99,2007-02-21 13:42:53,NICHOLAS,BARFIELD,nicholas.barfield@sakilacustomer.org
17592,363,2,1426,4.99,2007-02-15 16:44:50,ROY,WHITING,roy.whiting@sakilacustomer.org
17593,363,2,1569,4.99,2007-02-16 01:47:35,ROY,WHITING,roy.whiting@sakilacustomer.org
17594,363,1,1847,4.99,2007-02-16 22:33:48,ROY,WHITING,roy.whiting@sakilacustomer.org
17595,363,1,2540,4.99,2007-02-19 00:33:14,ROY,WHITING,roy.whiting@sakilacustomer.org
17596,363,2,3281,2.99,2007-02-21 04:37:13,ROY,WHITING,roy.whiting@sakilacustomer.org
17597,364,1,1722,2.99,2007-02-16 13:41:18,BENJAMIN,VARNEY,benjamin.varney@sakilacustomer.org
17598,364,2,2442,2.99,2007-02-18 17:17:44,BENJAMIN,VARNEY,benjamin.varney@sakilacustomer.org
17599,364,2,2606,4.99,2007-02-19 05:19:58,BENJAMIN,VARNEY,benjamin.varney@sakilacustomer.org
17600,364,2,2857,4.99,2007-02-19 21:43:41,BENJAMIN,VARNEY,benjamin.varney@sakilacustomer.org
17601,364,2,2962,3.99,2007-02-20 06:00:21,BENJAMIN,VARNEY,benjamin.varney@sakilacustomer.org
17602,365,1,1303,1.99,2007-02-15 08:24:23,BRUCE,SCHWARZ,bruce.schwarz@sakilacustomer.org
17603,365,1,1578,6.99,2007-02-16 02:36:42,BRUCE,SCHWARZ,bruce.schwarz@sakilacustomer.org
17604,365,1,1983,4.99,2007-02-17 08:50:39,BRUCE,SCHWARZ,bruce.schwarz@sakilacustomer.org
17605,365,1,2525,2.99,2007-02-18 23:16:48,BRUCE,SCHWARZ,bruce.schwarz@sakilacustomer.org
17606,365,2,3156,0.99,2007-02-20 19:32:12,BRUCE,SCHWARZ,bruce.schwarz@sakilacustomer.org
17607,366,2,1401,1.99,2007-02-15 14:58:48,BRANDON,HUEY,brandon.huey@sakilacustomer.org
17608,366,2,2214,0.99,2007-02-18 01:13:03,BRANDON,HUEY,brandon.huey@sakilacustomer.org
17609,367,1,3078,0.99,2007-02-20 13:38:14,ADAM,GOOCH,adam.gooch@sakilacustomer.org
17610,368,1,1186,0.99,2007-02-14 23:25:11,HARRY,ARCE,harry.arce@sakilacustomer.org
17612,368,1,2531,4.99,2007-02-18 23:49:15,HARRY,ARCE,harry.arce@sakilacustomer.org
17613,368,1,2694,4.99,2007-02-19 11:45:47,HARRY,ARCE,harry.arce@sakilacustomer.org
17614,368,1,2744,4.99,2007-02-19 14:49:06,HARRY,ARCE,harry.arce@sakilacustomer.org
17615,368,2,3275,4.99,2007-02-21 04:01:30,HARRY,ARCE,harry.arce@sakilacustomer.org
17616,369,1,1224,0.99,2007-02-15 02:12:51,FRED,WHEAT,fred.wheat@sakilacustomer.org
17617,370,2,1190,6.99,2007-02-14 23:33:58,WAYNE,TRUONG,wayne.truong@sakilacustomer.org
17618,371,2,1212,2.99,2007-02-15 01:31:59,BILLY,POULIN,billy.poulin@sakilacustomer.org
17619,371,1,1218,1.99,2007-02-15 01:53:10,BILLY,POULIN,billy.poulin@sakilacustomer.org
17620,371,1,1573,6.99,2007-02-16 02:00:05,BILLY,POULIN,billy.poulin@sakilacustomer.org
17621,371,2,1675,5.99,2007-02-16 09:33:13,BILLY,POULIN,billy.poulin@sakilacustomer.org
17622,371,2,2837,0.99,2007-02-19 20:32:16,BILLY,POULIN,billy.poulin@sakilacustomer.org
17623,371,1,3176,3.99,2007-02-20 21:00:20,BILLY,POULIN,billy.poulin@sakilacustomer.org
17624,371,2,3396,0.99,2007-02-21 13:51:34,BILLY,POULIN,billy.poulin@sakilacustomer.org
17625,372,1,2315,2.99,2007-02-18 07:32:05,STEVE,MACKENZIE,steve.mackenzie@sakilacustomer.org
17626,372,1,2959,4.99,2007-02-20 05:36:20,STEVE,MACKENZIE,steve.mackenzie@sakilacustomer.org
17627,372,1,3283,3.99,2007-02-21 04:47:33,STEVE,MACKENZIE,steve.mackenzie@sakilacustomer.org
17628,373,1,1472,6.99,2007-02-15 19:23:21,LOUIS,LEONE,louis.leone@sakilacustomer.org
17629,373,1,3161,2.99,2007-02-20 19:49:27,LOUIS,LEONE,louis.leone@sakilacustomer.org
17630,374,1,1548,1.99,2007-02-16 00:11:59,JEREMY,HURTADO,jeremy.hurtado@sakilacustomer.org
17631,374,2,2046,1.99,2007-02-17 13:08:16,JEREMY,HURTADO,jeremy.hurtado@sakilacustomer.org
17632,374,2,2487,4.99,2007-02-18 20:01:20,JEREMY,HURTADO,jeremy.hurtado@sakilacustomer.org
17633,374,2,2641,2.99,2007-02-19 08:06:59,JEREMY,HURTADO,jeremy.hurtado@sakilacustomer.org
17634,375,2,1404,2.99,2007-02-15 15:07:19,AARON,SELBY,aaron.selby@sakilacustomer.org
17635,375,1,1499,5.99,2007-02-15 20:26:33,AARON,SELBY,aaron.selby@sakilacustomer.org
17636,375,1,2236,4.99,2007-02-18 02:40:59,AARON,SELBY,aaron.selby@sakilacustomer.org
17637,376,2,1208,0.99,2007-02-15 00:58:29,RANDY,GAITHER,randy.gaither@sakilacustomer.org
17638,376,1,2779,0.99,2007-02-19 16:47:33,RANDY,GAITHER,randy.gaither@sakilacustomer.org
17639,377,2,2556,3.99,2007-02-19 01:35:58,HOWARD,FORTNER,howard.fortner@sakilacustomer.org
17640,377,1,3080,1.99,2007-02-20 13:50:58,HOWARD,FORTNER,howard.fortner@sakilacustomer.org
17641,377,2,3086,0.99,2007-02-20 14:11:06,HOWARD,FORTNER,howard.fortner@sakilacustomer.org
17642,377,2,3136,2.99,2007-02-20 18:07:34,HOWARD,FORTNER,howard.fortner@sakilacustomer.org
17643,377,2,3443,4.99,2007-02-21 18:47:26,HOWARD,FORTNER,howard.fortner@sakilacustomer.org
17644,378,2,1623,4.99,2007-02-16 06:17:16,EUGENE,CULPEPPER,eugene.culpepper@sakilacustomer.org
17645,378,1,1662,5.99,2007-02-16 08:42:01,EUGENE,CULPEPPER,eugene.culpepper@sakilacustomer.org
17646,378,2,2134,7.99,2007-02-17 19:42:10,EUGENE,CULPEPPER,eugene.culpepper@sakilacustomer.org
17647,378,2,2713,4.99,2007-02-19 12:51:35,EUGENE,CULPEPPER,eugene.culpepper@sakilacustomer.org
17649,379,1,2313,5.99,2007-02-18 07:25:11,CARLOS,COUGHLIN,carlos.coughlin@sakilacustomer.org
17650,379,1,2926,2.99,2007-02-20 03:06:11,CARLOS,COUGHLIN,carlos.coughlin@sakilacustomer.org
17651,380,1,1868,3.99,2007-02-17 00:31:48,RUSSELL,BRINSON,russell.brinson@sakilacustomer.org
17652,380,1,1984,2.99,2007-02-17 08:53:54,RUSSELL,BRINSON,russell.brinson@sakilacustomer.org
17653,380,1,2018,3.99,2007-02-17 11:04:24,RUSSELL,BRINSON,russell.brinson@sakilacustomer.org
17654,380,1,2440,2.99,2007-02-18 17:09:35,RUSSELL,BRINSON,russell.brinson@sakilacustomer.org
17655,380,1,2464,4.99,2007-02-18 18:34:31,RUSSELL,BRINSON,russell.brinson@sakilacustomer.org
17656,380,2,2998,1.99,2007-02-20 07:58:48,RUSSELL,BRINSON,russell.brinson@sakilacustomer.org
17657,380,2,3099,1.99,2007-02-20 15:12:59,RUSSELL,BRINSON,russell.brinson@sakilacustomer.org
17658,380,1,3260,4.99,2007-02-21 02:27:39,RUSSELL,BRINSON,russell.brinson@sakilacustomer.org
17659,381,1,1402,3.99,2007-02-15 14:59:34,BOBBY,BOUDREAU,bobby.boudreau@sakilacustomer.org
17660,381,1,1878,1.99,2007-02-17 01:23:58,BOBBY,BOUDREAU,bobby.boudreau@sakilacustomer.org
17661,381,2,2410,2.99,2007-02-18 15:23:34,BOBBY,BOUDREAU,bobby.boudreau@sakilacustomer.org
17662,381,1,2418,4.99,2007-02-18 15:43:08,BOBBY,BOUDREAU,bobby.boudreau@sakilacustomer.org
17663,381,2,3425,2.99,2007-02-21 16:35:33,BOBBY,BOUDREAU,bobby.boudreau@sakilacustomer.org
17664,382,1,2389,0.99,2007-02-18 13:56:13,VICTOR,BARKLEY,victor.barkley@sakilacustomer.org
17665,382,1,2468,4.99,2007-02-18 18:52:18,VICTOR,BARKLEY,victor.barkley@sakilacustomer.org
17666,382,1,2489,1.99,2007-02-18 20:29:10,VICTOR,BARKLEY,victor.barkley@sakilacustomer.org
17667,382,1,2514,2.99,2007-02-18 22:25:10,VICTOR,BARKLEY,victor.barkley@sakilacustomer.org
17668,382,2,3125,4.99,2007-02-20 17:00:24,VICTOR,BARKLEY,victor.barkley@sakilacustomer.org
17669,383,1,1831,7.99,2007-02-16 20:50:43,MARTIN,BALES,martin.bales@sakilacustomer.org
17670,383,2,2228,2.99,2007-02-18 02:13:16,MARTIN,BALES,martin.bales@sakilacustomer.org
17671,383,1,2252,2.99,2007-02-18 03:33:44,MARTIN,BALES,martin.bales@sakilacustomer.org
17672,383,2,2318,2.99,2007-02-18 07:42:20,MARTIN,BALES,martin.bales@sakilacustomer.org
17673,383,1,2609,7.99,2007-02-19 05:41:38,MARTIN,BALES,martin.bales@sakilacustomer.org
17674,383,1,3091,2.99,2007-02-20 14:31:25,MARTIN,BALES,martin.bales@sakilacustomer.org
17675,384,1,1961,0.99,2007-02-17 07:31:24,ERNEST,STEPP,ernest.stepp@sakilacustomer.org
17676,384,2,2020,0.99,2007-02-17 11:08:16,ERNEST,STEPP,ernest.stepp@sakilacustomer.org
17677,384,1,2378,7.99,2007-02-18 13:26:15,ERNEST,STEPP,ernest.stepp@sakilacustomer.org
17678,384,2,2510,5.99,2007-02-18 22:12:47,ERNEST,STEPP,ernest.stepp@sakilacustomer.org
17679,384,2,2935,3.99,2007-02-20 03:35:50,ERNEST,STEPP,ernest.stepp@sakilacustomer.org
17681,384,2,3101,4.99,2007-02-20 15:17:24,ERNEST,STEPP,ernest.stepp@sakilacustomer.org
17682,385,1,1746,2.99,2007-02-16 15:09:45,PHILLIP,HOLM,phillip.holm@sakilacustomer.org
17683,385,1,1937,0.99,2007-02-17 05:45:12,PHILLIP,HOLM,phillip.holm@sakilacustomer.org
17684,385,1,3105,0.99,2007-02-20 15:40:12,PHILLIP,HOLM,phillip.holm@sakilacustomer.org
17685,386,2,1585,3.99,2007-02-16 03:19:39,TODD,TAN,todd.tan@sakilacustomer.org
17686,386,1,1608,2.99,2007-02-16 04:57:23,TODD,TAN,todd.tan@sakilacustomer.org
17687,386,2,1819,5.99,2007-02-16 20:01:16,TODD,TAN,todd.tan@sakilacustomer.org
17688,386,1,2732,0.99,2007-02-19 13:48:05,TODD,TAN,todd.tan@sakilacustomer.org
17689,386,1,3351,2.99,2007-02-21 09:50:05,TODD,TAN,todd.tan@sakilacustomer.org
17690,387,1,1464,0.99,2007-02-15 19:06:40,JESSE,SCHILLING,jesse.schilling@sakilacustomer.org
17691,387,2,1465,0.99,2007-02-15 19:11:34,JESSE,SCHILLING,jesse.schilling@sakilacustomer.org
17692,387,1,2068,0.99,2007-02-17 14:40:12,JESSE,SCHILLING,jesse.schilling@sakilacustomer.org
17693,387,2,2100,0.99,2007-02-17 17:21:47,JESSE,SCHILLING,jesse.schilling@sakilacustomer.org
17694,387,2,2981,5.99,2007-02-20 07:03:43,JESSE,SCHILLING,jesse.schilling@sakilacustomer.org
17695,387,2,3378,4.99,2007-02-21 12:19:54,JESSE,SCHILLING,jesse.schilling@sakilacustomer.org
17696,388,2,1276,6.99,2007-02-15 06:28:39,CRAIG,MORRELL,craig.morrell@sakilacustomer.org
17697,388,1,2145,0.99,2007-02-17 20:39:02,CRAIG,MORRELL,craig.morrell@sakilacustomer.org
17698,388,1,2537,5.99,2007-02-19 00:20:47,CRAIG,MORRELL,craig.morrell@sakilacustomer.org
17699,388,1,2692,4.99,2007-02-19 11:36:45,CRAIG,MORRELL,craig.morrell@sakilacustomer.org
17700,388,2,3159,7.99,2007-02-20 19:40:16,CRAIG,MORRELL,craig.morrell@sakilacustomer.org
17701,389,1,1763,4.99,2007-02-16 16:19:27,ALAN,KAHN,alan.kahn@sakilacustomer.org
17702,389,1,1946,4.99,2007-02-17 06:27:05,ALAN,KAHN,alan.kahn@sakilacustomer.org
17703,389,1,2552,3.99,2007-02-19 01:29:55,ALAN,KAHN,alan.kahn@sakilacustomer.org
17704,390,2,1539,5.99,2007-02-15 23:39:51,SHAWN,HEATON,shawn.heaton@sakilacustomer.org
17705,390,2,1730,2.99,2007-02-16 13:58:27,SHAWN,HEATON,shawn.heaton@sakilacustomer.org
17706,390,2,1893,3.99,2007-02-17 02:47:03,SHAWN,HEATON,shawn.heaton@sakilacustomer.org
17707,390,1,2330,7.99,2007-02-18 09:09:45,SHAWN,HEATON,shawn.heaton@sakilacustomer.org
17708,390,1,3147,5.99,2007-02-20 18:53:43,SHAWN,HEATON,shawn.heaton@sakilacustomer.org
17709,391,2,1232,0.99,2007-02-15 02:46:36,CLARENCE,GAMEZ,clarence.gamez@sakilacustomer.org
17710,391,2,1931,0.99,2007-02-17 05:20:22,CLARENCE,GAMEZ,clarence.gamez@sakilacustomer.org
17711,391,1,2045,2.99,2007-02-17 13:06:37,CLARENCE,GAMEZ,clarence.gamez@sakilacustomer.org
17712,391,1,2690,2.99,2007-02-19 11:28:28,CLARENCE,GAMEZ,clarence.gamez@sakilacustomer.org
17713,391,2,3163,2.99,2007-02-20 19:50:39,CLARENCE,GAMEZ,clarence.gamez@sakilacustomer.org
17714,392,2,1530,6.99,2007-02-15 23:06:33,SEAN,DOUGLASS,sean.douglass@sakilacustomer.org
17715,392,2,1764,2.99,2007-02-16 16:20:20,SEAN,DOUGLASS,sean.douglass@sakilacustomer.org
17716,392,2,2289,2.99,2007-02-18 05:58:09,SEAN,DOUGLASS,sean.douglass@sakilacustomer.org
17717,392,2,2890,4.99,2007-02-20 00:29:11,SEAN,DOUGLASS,sean.douglass@sakilacustomer.org
17718,393,1,1611,6.99,2007-02-16 05:10:01,PHILIP,CAUSEY,philip.causey@sakilacustomer.org
17719,393,2,1915,1.99,2007-02-17 03:56:54,PHILIP,CAUSEY,philip.causey@sakilacustomer.org
17720,393,2,2219,2.99,2007-02-18 01:45:20,PHILIP,CAUSEY,philip.causey@sakilacustomer.org
17721,393,1,2319,4.99,2007-02-18 07:52:48,PHILIP,CAUSEY,philip.causey@sakilacustomer.org
17722,393,2,3001,2.99,2007-02-20 08:18:42,PHILIP,CAUSEY,philip.causey@sakilacustomer.org
17723,394,2,1324,4.99,2007-02-15 09:31:11,CHRIS,BROTHERS,chris.brothers@sakilacustomer.org
17724,395,1,1270,0.99,2007-02-15 05:58:48,JOHNNY,TURPIN,johnny.turpin@sakilacustomer.org
17725,395,1,1562,0.99,2007-02-16 01:14:53,JOHNNY,TURPIN,johnny.turpin@sakilacustomer.org
17726,395,2,1603,0.99,2007-02-16 04:42:29,JOHNNY,TURPIN,johnny.turpin@sakilacustomer.org
17727,395,1,3030,4.99,2007-02-20 10:20:25,JOHNNY,TURPIN,johnny.turpin@sakilacustomer.org
17728,395,1,3310,0.99,2007-02-21 06:33:17,JOHNNY,TURPIN,johnny.turpin@sakilacustomer.org
17729,395,1,3389,6.99,2007-02-21 13:06:21,JOHNNY,TURPIN,johnny.turpin@sakilacustomer.org
17730,396,2,1370,1.99,2007-02-15 12:59:31,EARL,SHANKS,earl.shanks@sakilacustomer.org
17731,396,2,1385,4.99,2007-02-15 13:56:49,EARL,SHANKS,earl.shanks@sakilacustomer.org
17732,396,2,1408,6.99,2007-02-15 15:26:24,EARL,SHANKS,earl.shanks@sakilacustomer.org
17733,397,1,1769,5.99,2007-02-16 16:36:14,JIMMY,SCHRADER,jimmy.schrader@sakilacustomer.org
17734,397,2,3027,1.99,2007-02-20 10:18:56,JIMMY,SCHRADER,jimmy.schrader@sakilacustomer.org
17735,398,2,1228,2.99,2007-02-15 02:19:02,ANTONIO,MEEK,antonio.meek@sakilacustomer.org
17736,398,1,2087,6.99,2007-02-17 16:03:36,ANTONIO,MEEK,antonio.meek@sakilacustomer.org
17738,399,2,2961,2.99,2007-02-20 05:57:41,DANNY,ISOM,danny.isom@sakilacustomer.org
17739,399,1,3036,5.99,2007-02-20 10:46:57,DANNY,ISOM,danny.isom@sakilacustomer.org
17740,400,2,1364,0.99,2007-02-15 12:33:58,BRYAN,HARDISON,bryan.hardison@sakilacustomer.org
17741,400,1,1917,3.99,2007-02-17 04:04:33,BRYAN,HARDISON,bryan.hardison@sakilacustomer.org
17742,400,2,1923,6.99,2007-02-17 04:34:36,BRYAN,HARDISON,bryan.hardison@sakilacustomer.org
17743,402,2,1194,4.99,2007-02-14 23:53:34,LUIS,YANEZ,luis.yanez@sakilacustomer.org
17744,402,2,2490,4.99,2007-02-18 20:29:16,LUIS,YANEZ,luis.yanez@sakilacustomer.org
17745,402,2,2913,2.99,2007-02-20 02:10:53,LUIS,YANEZ,luis.yanez@sakilacustomer.org
17746,403,2,1221,4.99,2007-02-15 02:03:42,MIKE,WAY,mike.way@sakilacustomer.org
17748,403,2,2488,3.99,2007-02-18 20:06:52,MIKE,WAY,mike.way@sakilacustomer.org
17749,403,1,2927,4.99,2007-02-20 03:10:07,MIKE,WAY,mike.way@sakilacustomer.org
17750,403,2,3049,6.99,2007-02-20 11:19:27,MIKE,WAY,mike.way@sakilacustomer.org
17751,403,1,3356,5.99,2007-02-21 10:07:11,MIKE,WAY,mike.way@sakilacustomer.org
17752,404,2,1506,2.99,2007-02-15 20:48:03,STANLEY,SCROGGINS,stanley.scroggins@sakilacustomer.org
17753,404,2,1840,4.99,2007-02-16 22:08:00,STANLEY,SCROGGINS,stanley.scroggins@sakilacustomer.org
17754,404,1,2715,4.99,2007-02-19 12:58:01,STANLEY,SCROGGINS,stanley.scroggins@sakilacustomer.org
17755,404,1,2951,2.99,2007-02-20 04:51:27,STANLEY,SCROGGINS,stanley.scroggins@sakilacustomer.org
17756,405,2,1315,4.99,2007-02-15 08:51:34,LEONARD,SCHOFIELD,leonard.schofield@sakilacustomer.org
17757,405,1,1888,0.99,2007-02-17 02:27:02,LEONARD,SCHOFIELD,leonard.schofield@sakilacustomer.org
17758,405,2,1953,5.99,2007-02-17 07:03:23,LEONARD,SCHOFIELD,leonard.schofield@sakilacustomer.org
